PPE GROUP,SUBGROUP,GRAP DESCRIPTION,ITEM BARCODE NUMBER,ITEM DESCRIPTION,MODEL,REGISTRATION/SERIAL NUMBER,WIDTH,GRADING,DIAMETRE,LENGTH,ITEM CONDITION,LIFE SPAN/MONTHS,QUANTITY,IN USE,GIS_ID,TOWN NAME,LAT_START,LONG_START,LAT_END,LONG_END,STAND NUMBER,STREET NAME,LAND DESCRIPTION,BUILDING DESCRIPTION,FLOOR NUMBER,ROOM BARCODE NUMBER,ROOM NAME,DEPARTMENT
INFRASTRUCTURE,WATER,PIPELINE,WL762,50mm AC,N/A,N/A,N/A,N/A,50,141.73,FAIR,240,N/A,IN USE,WL762,REITZ,"27° 47' 36.705"" S "," 28° 25' 56.092"" N "," 27° 47' 35.945"" S "," 28° 25' 50.987"" N",1320,ELAND STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL763,50mm AC,N/A,N/A,N/A,N/A,50,136.11,FAIR,240,N/A,IN USE,WL763,REITZ,"27° 47' 37.434"" S "," 28° 26' 0.995"" N "," 27° 47' 36.705"" S "," 28° 25' 56.092"" N",1321,DUIKER STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL764,50mm AC,N/A,N/A,N/A,N/A,50,132.20,FAIR,240,N/A,IN USE,WL764,REITZ,"27° 47' 45.986"" S "," 28° 25' 44.033"" N "," 27° 47' 50.219"" S "," 28° 25' 43.229"" N",1322,BLESBOK STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL765,50mm AC,N/A,N/A,N/A,N/A,50,153.65,FAIR,240,N/A,IN USE,WL765,REITZ,"27° 47' 50.219"" S "," 28° 25' 43.229"" N "," 27° 47' 55.140"" S "," 28° 25' 42.294"" N",1323,PAVER STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL771,50mm AC,N/A,N/A,N/A,N/A,50,137.15,FAIR,240,N/A,IN USE,WL771,REITZ,"27° 47' 45.986"" S "," 28° 25' 44.033"" N "," 27° 47' 46.701"" S "," 28° 25' 48.978"" N",1329,ELAND STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL772,50mm AC,N/A,N/A,N/A,N/A,50,141.37,FAIR,240,N/A,IN USE,WL772,REITZ,"27° 47' 46.701"" S "," 28° 25' 48.978"" N "," 27° 47' 47.458"" S "," 28° 25' 54.070"" N",132,RIBBOK STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL773,50mm AC,N/A,N/A,N/A,N/A,50,93.30,FAIR,240,N/A,IN USE,WL773,REITZ,"27° 47' 47.458"" S "," 28° 25' 54.070"" N "," 27° 47' 47.979"" S "," 28° 25' 57.427"" N",1330,EIKE STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL786,50mm AC,N/A,N/A,N/A,N/A,50,76.67,FAIR,240,N/A,IN USE,WL786,REITZ,"27° 47' 56.409"" S "," 28° 26' 7.202"" N "," 27° 47' 58.876"" S "," 28° 26' 6.826"" N",1342,KERK STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL787,50mm AC,N/A,N/A,N/A,N/A,50,77.13,FAIR,240,N/A,IN USE,WL787,REITZ,"27° 47' 54.939"" S "," 28° 26' 11.051"" N "," 27° 47' 53.687"" S "," 28° 26' 8.611"" N",1343,DE JAGER STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL788,50mm AC,N/A,N/A,N/A,N/A,50,177.66,FAIR,240,N/A,IN USE,WL788,REITZ,"27° 47' 53.746"" S "," 28° 26' 2.477"" N "," 27° 47' 48.728"" S "," 28° 26' 5.681"" N",1344,ZUIDER STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL789,50mm AC,N/A,N/A,N/A,N/A,50,114.88,FAIR,240,N/A,IN USE,WL789,REITZ,"27° 47' 53.687"" S "," 28° 26' 8.611"" N "," 27° 47' 50.407"" S "," 28° 26' 10.613"" N",1345,AMPER STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL790,50mm AC,N/A,N/A,N/A,N/A,50,93.29,FAIR,240,N/A,IN USE,WL790,REITZ,"27° 47' 56.409"" S "," 28° 26' 7.202"" N "," 27° 47' 53.687"" S "," 28° 26' 8.611"" N",1346,PAPENFUS STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL819,50mm AC,N/A,N/A,N/A,N/A,50,135.02,FAIR,240,N/A,IN USE,WL819,REITZ,"27° 48' 6.285"" S "," 28° 25' 40.378"" N "," 27° 48' 7.072"" S "," 28° 25' 45.229"" N",1078,CLARK STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL820,50mm AC,N/A,N/A,N/A,N/A,50,138.16,FAIR,240,N/A,IN USE,WL820,REITZ,"27° 48' 7.072"" S "," 28° 25' 45.229"" N "," 27° 48' 7.877"" S "," 28° 25' 50.194"" N",107,SHORT STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL898,50mm AC,N/A,N/A,N/A,N/A,50,499.69,FAIR,240,N/A,IN USE,WL898,REITZ,"27° 48' 13.107"" S "," 28° 25' 53.985"" N "," 27° 48' 22.286"" S "," 28° 25' 52.273"" N",1159,VOORTREKKER STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1221,50mm AC,N/A,N/A,N/A,N/A,50,34.40,FAIR,240,N/A,IN USE,WL1221,REITZ,"27° 47' 58.764"" S "," 28° 25' 46.766"" N "," 27° 47' 58.585"" S "," 28° 25' 45.525"" N",1250,PLEIN NOORD STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1246,50mm AC,N/A,N/A,N/A,N/A,50,645.74,FAIR,240,N/A,IN USE,WL1246,REITZ,"27° 47' 23.148"" S "," 28° 25' 59.339"" N "," 27° 47' 26.443"" S "," 28° 25' 56.266"" N",1277,RIBBOK STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1247,50mm AC,N/A,N/A,N/A,N/A,50,324.66,FAIR,240,N/A,IN USE,WL1247,REITZ,"27° 47' 24.579"" S "," 28° 26' 8.030"" N "," 27° 47' 23.148"" S "," 28° 25' 59.339"" N",1278,EIKE STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL1248,50mm AC,N/A,N/A,N/A,N/A,50,198.66,FAIR,240,N/A,IN USE,WL1248,REITZ,"27° 47' 26.443"" S "," 28° 25' 56.266"" N "," 27° 47' 29.494"" S "," 28° 26' 2.659"" N",1279,DAVEL STR,N/A,N/A,N/A,N/A,N/A,WATER
